procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 997448 267572  77028 1105832    2    9    55    92  294  166  1  3 95  0  0
 0  0 997448 267572  77028 1105800    0    0     0     0  819  664  3  2 95  0  0
 0  0 997448 267572  77028 1105800    0    0     0     0  928  490  1  1 98  0  0
 0  0 997448 267572  77028 1105800    0    0     0     0 1011  910  2  1 97  0  0
 0  0 997448 267572  77028 1105800    0    0     0     0  872  319  0  0 100  0  0
 0  0 997448 252760  77040 1116520    0    0 10720    64 6301 1048  2 34 62  2  0
 4  0 997448 246964  77040 1118136    0    0  1612     0 7366 1185  2 36 61  1  0
 2  0 997448 240192  77040 1118284    0    0   148     0 8171 1236  2 42 55  1  0
12  0 997448 239240  77040 1118284    0    0     0     0 15924 2129 10 84  6  0  0
 5  0 997448 235880  77040 1118288    0    0     0     0 16809 1593  6 88  5  0  0
12  0 997448 235100  77048 1118288    0    0     0    20 13426 6117 14 86  0  0  0
 6  0 997448 233032  77048 1118292    0    0     0     0 12513 5840 13 87  0  0  0
 2  0 997448 232780  77048 1118348    0    0    48     4 12223 1823 23 77  0  0  0
 7  0 997448 232780  77048 1118348    0    0     0     0 13524 1686 18 82  0  0  0
 6  1 997448 231268  77056 1118344    0    0     0    36 12739 1852 17 83  0  0  0
 5  0 997448 231268  77056 1118352    0    0     0     0 12633 1756 23 77  0  0  0
 1  0 997448 227236  77056 1118352   20    0    20     0 12979 1696 18 82  0  0  0
12  0 997448 227236  77056 1118356   32    0    32   676 13368 2680 17 83  0  0  0
 1  0 997448 227236  77056 1118452   12    0   104     0 14037 1726 25 75  0  0  0
 5  0 997448 227236  77064 1119692   12    0    12    48 13255 1320 28 72  0  0  0
 1  0 997448 227236  77064 1114768    0    0     0     0 13983 1305 24 76  0  0  0
 5  0 997448 225444  77064 1114768    0    0     0     0 12962 1504 22 78  0  0  0
 1  0 997448 225444  77064 1114772    0    0     0   308 12922 1397 19 81  0  0  0
 1  0 997448 225444  77064 1114776    0    0     0     0 14164 1480 16 81  3  0  0
 2  0 997448 229836  77072 1114772    0    0     0    32 16059 1011  2 82 15  1  0
 1  0 997448 229836  77072 1114780    0    0     0     0 15152 1081  1 82 17  0  0
 1  0 997448 229836  77072 1114784    0    0     0     0 14448  982  2 84 14  0  0
 1  0 997448 229836  77072 1114784    0    0     0   116 15540 1109  2 81 17  0  0
 0  0 997448 229836  77072 1114788    0    0     0     0 15509 1062  1 81 18  0  0
 4  1 997448 229836  77080 1114780    0    0     0    24 13233  843  0 62 38  0  0
 0  0 997448 229836  77080 1114792    0    0     0     0 16349 1090  2 82 16  0  0
 1  0 997448 229836  77080 1114796    0    0     0     0 16409 1066  2 82 16  0  0
 1  0 997448 229836  77080 1114796    0    0     0    40 15312 1163  5 81 13  0  0
 0  0 997448 229836  77080 1114800    0    0     0     0 14311  982  1 82 17  0  0
 0  0 997448 230092  77080 1114800    0    0     0     0 12810  851  3 57 40  0  0
 3  0 997448 230092  77088 1114804    0    0     0    28 16366 1057  1 82 17  0  0
 0  0 997448 230092  77088 1114804    0    0     0     0 16111 1031  3 81 16  0  0
 1  0 997448 230092  77088 1114808    0    0     0    76 16012 1113  2 82 16  0  0
 1  0 997448 230092  77088 1114808    0    0     0     0 16249 1070  2 79 18  0  0
 2  0 997448 230092  77088 1114812    0    0     0     0 15263  958  2 71 27  0  0
 0  0 997448 230092  77096 1114816    0    0     0    28 12874  814  1 60 38  1  0
 2  0 997448 230092  77104 1114860    0    0     0   100 14601 1025  1 79 20  0  0
 2  0 997448 230092  77112 1114824    0    0     0    72 16751 1073  1 81 18  0  0
 1  0 997448 226284  77112 1114824    0    0     0     0 14907 1048  1 82 17  0  0
 1  0 997448 226284  77112 1114828    0    0     0     0 14949  976  2 78 19  0  0
 2  0 997448 229872  77112 1114832    0    0     0     0 13592  837  2 61 37  0  0
 3  0 997448 229624  77112 1114832    0    0     0     0 16515 1046  1 82 17  0  0
 1  0 997448 229624  77120 1114836    0    0     0    80 15473 1033  0 79 20  1  0
 5  0 997448 229376  77120 1114840    0    0     0     0 16292 1081  1 85 14  0  0
 1  0 997448 229376  77120 1114844    0    0     0     0 15163 1006  1 77 22  0  0
 0  0 997448 229632  77120 1114848    0    0     0     0 14551  865  2 65 33  0  0
 1  0 997448 229632  77120 1114848    0    0     0     0 13808  890  2 67 31  0  0
 1  0 997448 229632  77128 1114848    0    0     0    40 16964 1124  2 80 18  0  0
 1  0 997448 229632  77128 1114852    0    0     0     4 16517 1025  1 83 16  0  0
 1  0 997448 229632  77128 1114852    0    0     0     0 16664 1057  1 83 16  0  0
 1  0 997448 229632  77128 1114860    0    0     0     0 13408  900  0 59 41  0  0
 1  0 997448 229632  77128 1114860    0    0     0     0 12946  775  3 58 39  0  0
 2  0 997448 229632  77136 1114860    0    0     0    16 15409 1008  3 81 16  0  0
 0  0 997448 229632  77136 1114864    0    0     0    16 15990  946  1 83 16  0  0
 3  0 997448 228288  77136 1114864    0    0     0     0 14826 1029  3 79 18  0  0
 0  0 997448 230064  77136 1114868    0    0     0     0 16128  975  1 83 16  0  0
 2  0 997448 230096  77136 1114872    0    0     0     0 10781  751  0 49 51  0  0
 1  0 997448 229844  77144 1114872    0    0     0    24 15578 1122  2 85 13  0  0
 1  0 997448 229844  77144 1114876    0    0     0    92 16328 1056  1 80 18  0  0
 1  0 997448 227804  77144 1114876    0    0     0     0 14682 1032  1 84 15  0  0
 0  0 997448 229356  77144 1114880    0    0     0     0 14825 1041  1 80 19  0  0
 0  0 997448 229388  77144 1116432    0    0  1548     0 7774 1135  3 36 59  2  0
 6  0 997448 229388  77152 1116432    0    0     0    24 8313 1183  2 38 59  1  0
 1  0 997448 229388  77152 1116432    0    0     0    72 8247 1400  2 47 51  0  0
 1  0 997448 229136  77152 1116436    0    0     0     0 15832 1891  2 83 14  0  0
 0  0 997448 229136  77152 1116440    0    0     0     0 16271 1552  1 80 19  0  0
 3  0 997448 229136  77152 1116440    0    0     0     0 9937  874  0 44 56  0  0
