timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687019087707,29,HTTP Request,200,OK,TG_1_Medium_500 1-1,bin,true,,1054587,139,1,1,http://192.168.56.101/medium/test1_medium.jpg,3,0,1
1687019087743,15,HTTP Request,200,OK,TG_1_Medium_500 1-2,bin,true,,1054587,139,2,2,http://192.168.56.101/medium/test1_medium.jpg,2,0,1
1687019087772,15,HTTP Request,200,OK,TG_1_Medium_500 1-3,bin,true,,1054587,139,3,3,http://192.168.56.101/medium/test1_medium.jpg,2,0,1
1687019087806,9,HTTP Request,200,OK,TG_1_Medium_500 1-4,bin,true,,1054587,139,4,4,http://192.168.56.101/medium/test1_medium.jpg,1,0,1
1687019087826,14,HTTP Request,200,OK,TG_1_Medium_500 1-1,bin,true,,1054586,139,5,5,http://192.168.56.101/medium/test2_medium.jpg,1,0,0
1687019087837,12,HTTP Request,200,OK,TG_1_Medium_500 1-5,bin,true,,1054587,139,5,5,http://192.168.56.101/medium/test1_medium.jpg,4,0,3
1687019087871,10,HTTP Request,200,OK,TG_1_Medium_500 1-6,bin,true,,1054587,139,6,6,http://192.168.56.101/medium/test1_medium.jpg,1,0,0
1687019087904,12,HTTP Request,200,OK,TG_1_Medium_500 1-7,bin,true,,1054587,139,7,7,http://192.168.56.101/medium/test1_medium.jpg,2,0,1
1687019087937,10,HTTP Request,200,OK,TG_1_Medium_500 1-8,bin,true,,1054587,139,8,8,http://192.168.56.101/medium/test1_medium.jpg,1,0,0
1687019087970,12,HTTP Request,200,OK,TG_1_Medium_500 1-9,bin,true,,1054587,139,9,9,http://192.168.56.101/medium/test1_medium.jpg,2,0,1
1687019087983,9,HTTP Request,200,OK,TG_1_Medium_500 1-2,bin,true,,1054586,139,9,9,http://192.168.56.101/medium/test2_medium.jpg,1,0,0
1687019088006,11,HTTP Request,200,OK,TG_1_Medium_500 1-10,bin,true,,1054587,139,10,10,http://192.168.56.101/medium/test1_medium.jpg,2,0,1
1687019088037,11,HTTP Request,200,OK,TG_1_Medium_500 1-11,bin,true,,1054587,139,11,11,http://192.168.56.101/medium/test1_medium.jpg,2,0,1
1687019088069,14,HTTP Request,200,OK,TG_1_Medium_500 1-12,bin,true,,1054587,139,12,12,http://192.168.56.101/medium/test1_medium.jpg,2,0,1
1687019088101,14,HTTP Request,200,OK,TG_1_Medium_500 1-13,bin,true,,1054587,139,13,13,http://192.168.56.101/medium/test1_medium.jpg,2,0,1
1687019088133,10,HTTP Request,200,OK,TG_1_Medium_500 1-3,bin,true,,1054586,139,14,14,http://192.168.56.101/medium/test2_medium.jpg,0,0,0
1687019088138,15,HTTP Request,200,OK,TG_1_Medium_500 1-14,bin,true,,1054587,139,14,14,http://192.168.56.101/medium/test1_medium.jpg,4,0,1
1687019088168,8,HTTP Request,200,OK,TG_1_Medium_500 1-15,bin,true,,1054587,139,15,15,http://192.168.56.101/medium/test1_medium.jpg,1,0,0
1687019088218,8,HTTP Request,200,OK,TG_1_Medium_500 1-16,bin,true,,1054587,139,16,16,http://192.168.56.101/medium/test1_medium.jpg,1,0,0
1687019088235,9,HTTP Request,200,OK,TG_1_Medium_500 1-17,bin,true,,1054587,139,17,17,http://192.168.56.101/medium/test1_medium.jpg,2,0,1
1687019088268,10,HTTP Request,200,OK,TG_1_Medium_500 1-18,bin,true,,1054587,139,18,18,http://192.168.56.101/medium/test1_medium.jpg,1,0,1
1687019088287,7,HTTP Request,200,OK,TG_1_Medium_500 1-4,bin,true,,1054586,139,18,18,http://192.168.56.101/medium/test2_medium.jpg,1,0,0
1687019088300,9,HTTP Request,200,OK,TG_1_Medium_500 1-19,bin,true,,1054587,139,19,19,http://192.168.56.101/medium/test1_medium.jpg,2,0,1
1687019088333,9,HTTP Request,200,OK,TG_1_Medium_500 1-20,bin,true,,1054587,139,20,20,http://192.168.56.101/medium/test1_medium.jpg,1,0,0
1687019088367,12,HTTP Request,200,OK,TG_1_Medium_500 1-21,bin,true,,1054587,139,21,21,http://192.168.56.101/medium/test1_medium.jpg,2,0,1
1687019088400,11,HTTP Request,200,OK,TG_1_Medium_500 1-22,bin,true,,1054587,139,22,22,http://192.168.56.101/medium/test1_medium.jpg,1,0,0
1687019088427,17,HTTP Request,200,OK,TG_1_Medium_500 1-1,bin,true,,1054586,139,23,23,http://192.168.56.101/medium/test3_medium.jpg,2,0,0
1687019088437,26,HTTP Request,200,OK,TG_1_Medium_500 1-5,bin,true,,1054586,139,23,23,http://192.168.56.101/medium/test2_medium.jpg,2,0,0
1687019088431,39,HTTP Request,200,OK,TG_1_Medium_500 1-23,bin,true,,1054587,139,24,24,http://192.168.56.101/medium/test1_medium.jpg,6,0,2
1687019088466,11,HTTP Request,200,OK,TG_1_Medium_500 1-24,bin,true,,1054587,139,24,24,http://192.168.56.101/medium/test1_medium.jpg,4,0,1
1687019088497,10,HTTP Request,200,OK,TG_1_Medium_500 1-25,bin,true,,1054587,139,25,25,http://192.168.56.101/medium/test1_medium.jpg,2,0,1
1687019088531,9,HTTP Request,200,OK,TG_1_Medium_500 1-26,bin,true,,1054587,139,26,26,http://192.168.56.101/medium/test1_medium.jpg,1,0,0
1687019088564,10,HTTP Request,200,OK,TG_1_Medium_500 1-27,bin,true,,1054587,139,27,27,http://192.168.56.101/medium/test1_medium.jpg,2,0,1
1687019088592,9,HTTP Request,200,OK,TG_1_Medium_500 1-6,bin,true,,1054586,139,28,28,http://192.168.56.101/medium/test2_medium.jpg,0,0,0
1687019088598,10,HTTP Request,200,OK,TG_1_Medium_500 1-28,bin,true,,1054587,139,28,28,http://192.168.56.101/medium/test1_medium.jpg,3,0,1
1687019088631,10,HTTP Request,200,OK,TG_1_Medium_500 1-29,bin,true,,1054587,139,29,29,http://192.168.56.101/medium/test1_medium.jpg,2,0,1
