procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 918480  97772  65232 1205892    3   10    65   105  140  126  1  4 94  0  0
 0  0 918480  97772  65232 1205896    0    0     0     0  956  833  4  2 94  0  0
 0  0 918480  97772  65232 1205896    0    0     0     0  932  384  1  0 99  0  0
 0  0 918480  97772  65232 1205896    0    0     0     0  894  349  0  1 99  0  0
 0  0 918480  97772  65244 1205884    0    0     0    76  803  352  0  0 92  8  0
 0  0 918480  97772  65244 1205896    0    0     0     0  865  375  1  0 99  0  0
 0  0 918480  97772  65244 1205896    0    0     0     0  854  310  0  0 100  0  0
 0  0 918480  97772  65244 1205900    0    0     0     0 1147  631  1  2 97  0  0
 0  0 918480  97772  65244 1205904    0    0     0     0 1180  718  2  1 97  0  0
 0  0 918480  97772  65244 1205904    0    0     0     0 1025  511  0  1 99  0  0
 0  0 918480  97772  65252 1205908    0    0     0    16 1798 1417  3  8 89  0  0
 0  0 918480  97772  65252 1205912    0    0     0     0 1672  573  1  5 94  0  0
 0  0 918480  97772  65252 1205912    0    0     0     0 4608  639  0 16 84  0  0
 0  0 918480  97772  65252 1205916    0    0     0     0 3146  586  0 11 89  0  0
 0  0 918480  97772  65252 1205916    0    0     0   696 7049  717  0 31 69  0  0
 0  0 918480  97772  65260 1205920    0    0     0    32 7142  744  0 26 73  1  0
 0  0 918480  97772  65260 1205920    0    0     0     0 11154  816  1 41 57  0  0
 1  0 918480  97772  65260 1205924    0    0     0     0 14501 1085  2 62 35  0  0
 1  0 918480  97772  65260 1205924    0    0     0     0 17407 1402  0 84 16  0  0
 2  0 918480  97772  65260 1205928    0    0     0     0 15825 1261  1 82 17  0  0
 1  0 918480  97772  65268 1205928    0    0     0    16 15012 1271  4 81 14  0  0
 2  0 918480  96876  65268 1205932    0    0     0     0 16289 1457  2 83 15  0  0
 4  0 918480  96876  65268 1205932    0    0     0     0 16643 1362  1 81 18  0  0
