Tupla,# Entries,Start time,End time,Length,Density,Interarrival
1,6,1167637660,1167637720,60,0.1,
2,3,1167655228,1167655229,1,3.0,17508.0
3,61,1167657137,1167657302,165,0.3696969696969697,1908.0
4,14,1167657550,1167657550,0,inf,248.0
5,2,1167657941,1167657941,0,inf,391.0
6,11,1167658201,1167658201,0,inf,260.0
7,16,1167658404,1167658456,52,0.3076923076923077,203.0
8,103,1167658913,1167659277,364,0.28296703296703296,457.0
9,42,1167659488,1167659772,284,0.14788732394366197,211.0
10,680,1167660001,1167665307,5306,0.12815680361854503,229.0
11,22,1167665787,1167665982,195,0.11282051282051282,480.0
12,2,1167666687,1167666687,0,inf,705.0
13,215,1167667201,1167668624,1423,0.1510892480674631,514.0
14,17,1167669001,1167669463,462,0.0367965367965368,377.0
15,698,1167669940,1167670848,908,0.7687224669603524,477.0
16,3,1167674660,1167674661,1,3.0,3812.0
17,30,1167676614,1167676625,11,2.727272727272727,1953.0
18,3,1167702531,1167702531,0,inf,25906.0
19,159,1167714982,1167716399,1417,0.1122088920254058,12451.0
20,1,1167737403,1167737403,0,inf,21004.0
21,6,1167760162,1167760287,125,0.048,22759.0
22,6,1167777657,1167777856,199,0.03015075376884422,17370.0
23,10,1167778056,1167778454,398,0.02512562814070352,200.0
24,7,1167778654,1167778778,124,0.056451612903225805,200.0
25,10,1167797837,1167798235,398,0.02512562814070352,19059.0
26,19,1167798435,1167798892,457,0.04157549234135667,200.0
27,3,1167799860,1167799860,0,inf,968.0
28,3,1167833364,1167833364,0,inf,33504.0
29,9,1167845528,1167845742,214,0.04205607476635514,12164.0
30,2,1167846123,1167846140,17,0.11764705882352941,381.0
31,3,1167847241,1167847241,0,inf,1101.0
32,2,1167849426,1167849443,17,0.11764705882352941,2185.0
33,14,1167857118,1167857118,0,inf,7675.0
34,3,1167883322,1167883322,0,inf,26204.0
35,3,1167894347,1167894347,0,inf,11025.0
36,3,1167895820,1167895820,0,inf,1473.0
37,65,1167898699,1167900204,1505,0.04318936877076412,2879.0
38,3,1167905372,1167905372,0,inf,5168.0
39,3,1167916397,1167916397,0,inf,11025.0
40,3,1167927422,1167927422,0,inf,11025.0
41,3,1167938447,1167938447,0,inf,11025.0
42,4,1167939920,1167939920,0,inf,1473.0
43,1,1167940853,1167940853,0,inf,933.0
44,3,1167949472,1167949472,0,inf,8619.0
45,3,1167950945,1167950945,0,inf,1473.0
46,10,1167953021,1167953022,1,10.0,2076.0
47,3,1167960497,1167960497,0,inf,7475.0
48,17,1167965456,1167966254,798,0.021303258145363407,4959.0
49,6,1167966454,1167966577,123,0.04878048780487805,200.0
50,31,1167971057,1167971522,465,0.06666666666666667,4480.0
51,3,1167982547,1167982547,0,inf,11025.0
52,1,1167983750,1167983750,0,inf,1203.0
