,Timestamp,Node,Subsystem,Message,Type,Tuple
0,1167845732,tg-c383,OTH,GM: LANAI[x]: WARNING: libgm gm abort.c:x:gm abort():firmware,computation,0
1,1167845742,tg-c383,OTH,GM: gm exit() called in the OTH: GM aborted<x>GM: NOTICE: drivers gm lanai command.c:x:gm lanai command report error():OTH,computation,0
2,1168107939,tg-master,OTH,"PCI: slot x:x.x has incorrect PCI cache line size of x bytes, correcting to x",master,1
3,1168316151,tg-c834,OTH,GM: LANAI[x]: Program aborted.,computation,2
4,1168316151,tg-c834,OTH,GM: LANAI[x]: WARNING: libgm gm abort.c:x:gm abort():firmware,computation,2
5,1168316161,tg-c834,OTH,GM: gm exit() called in the OTH: GM aborted<x>GM: NOTICE: drivers gm lanai command.c:x:gm lanai command report error():OTH,computation,2
6,1168379090,tg-c894,OTH,GM: LANAI[x]: WARNING: libgm gm abort.c:x:gm abort():firmware,computation,3
7,1168379100,tg-c894,OTH,GM: gm exit() called in the OTH: GM aborted<x>GM: NOTICE: drivers gm lanai command.c:x:gm lanai command report error():OTH,computation,3
8,1168445120,tg-s044,OTH,alloc pages: x-order allocation failed (gfp=x,storage,4
9,1168445122,tg-s044,OTH,alloc pages: x-order allocation failed (gfp=x,storage,4
10,1168445122,tg-s044,OTH,alloc pages: x-order allocation failed (gfp=x,storage,4
11,1168445125,tg-s044,OTH,alloc pages: x-order allocation failed (gfp=x,storage,4
12,1168445125,tg-s044,OTH,alloc pages: x-order allocation failed (gfp=x,storage,4
13,1168445131,tg-s044,OTH,alloc pages: x-order allocation failed (gfp=x,storage,4
14,1168445132,tg-s044,OTH,alloc pages: x-order allocation failed (gfp=x,storage,4
15,1168445132,tg-s044,OTH,alloc pages: x-order allocation failed (gfp=x,storage,4
16,1168445133,tg-s044,OTH,alloc pages: x-order allocation failed (gfp=x,storage,4
17,1168445135,tg-s044,OTH,alloc pages: x-order allocation failed (gfp=x,storage,4
18,1168445136,tg-s044,OTH,alloc pages: x-order allocation failed (gfp=x,storage,4
19,1168445137,tg-s044,OTH,alloc pages: x-order allocation failed (gfp=x,storage,4
20,1168445137,tg-s044,OTH,alloc pages: x-order allocation failed (gfp=x,storage,4
21,1168559205,tg-c247,OTH,GM: LANAI[x]: WARNING: libgm gm abort.c:x:gm abort():firmware,computation,5
22,1168559215,tg-c247,OTH,GM: gm exit() called in the OTH: GM aborted<x>GM: NOTICE: drivers gm lanai command.c:x:gm lanai command report error():OTH,computation,5
23,1168723169,tg-s044,OTH,alloc pages: x-order allocation failed (gfp=x,storage,6
24,1168800291,tg-c860,OTH,"OTH panic: REISERFS: panic (device x:x): journal-x, buffer write failed",computation,7
25,1168800291,tg-c860,OTH,"OTH panic: REISERFS: panic (device x:x): journal-x, buffer write failed",computation,7
26,1171322282,tg-c685,OTH,alloc pages: x-order allocation failed (gfp=x,computation,8
27,1171322282,tg-c894,OTH,alloc pages: x-order allocation failed (gfp=x,computation,8
28,1172010257,tg-master,OTH,"PCI: slot x:x.x has incorrect PCI cache line size of x bytes, correcting to x",master,9
29,1174761986,tg-c733,OTH,GM: LANAI[x]: Program aborted.,computation,10
30,1174761986,tg-c733,OTH,GM: LANAI[x]: WARNING: libgm gm abort.c:x:gm abort():firmware,computation,10
31,1174761996,tg-c733,OTH,GM: gm exit() called in the OTH: GM aborted<x>GM: NOTICE: drivers gm lanai command.c:x:gm lanai command report error():OTH,computation,10
32,1174797982,tg-c324,OTH,?         mpd.run(),computation,11
33,1174929130,tg-master,OTH,"PCI: slot x:x.x has incorrect PCI cache line size of x bytes, correcting to x",master,12
