Interarrival_DEV,Interarrival_MEM,Interarrival_I-O,Interarrival_NET,Interarrival_PRO,Interarrival_OTH
1908.0,249.0,595.0,11027.0,32470.0,262197.0
248.0,651.0,3303.0,175588.0,31734.0,208212.0
391.0,721.0,7675.0,595.0,12451.0,62929.0
260.0,386.0,190529.0,3303.0,182300.0,66020.0
203.0,430.0,46171.0,134324.0,71457.0,114068.0
457.0,495.0,234.0,110075.0,106.0,163954.0
211.0,855.0,187.0,308.0,34392.0,77122.0
229.0,315.0,140.0,473.0,242087.0,2521991.0
480.0,585.0,136.0,199.0,134047.0,687975.0
705.0,225.0,110.0,3731.0,199823.0,2751729.0
514.0,922.0,681.0,831.0,23902.0,35986.0
377.0,1255.0,179.0,413.0,3258.0,131148.0
477.0,840.0,1776.0,197.0,86327.0,
781.0,1220.0,2181.0,1142.0,19518.0,
3812.0,299.0,4003.0,211.0,171798.0,
1953.0,428.0,2660.0,2386.0,43907.0,
60778.0,293.0,1417.0,188.0,644947.0,
22759.0,1450.0,86449.0,3899.0,11059.0,
17370.0,283068.0,88078.0,174598.0,21626.0,
200.0,33644.0,4787.0,5044.0,42372.0,
200.0,217853.0,257.0,480497.0,349727.0,
19059.0,110250.0,5244.0,795.0,114211.0,
200.0,153976.0,580.0,1577.0,164927.0,
968.0,10665.0,175880.0,119.0,12103.0,
33504.0,11025.0,298677.0,8713.0,18400.0,
12368.0,25403.0,780.0,271.0,1562.0,
1499.0,397.0,1531.0,11414.0,111.0,
36081.0,151894.0,8669.0,20818.0,353508.0,
11025.0,1542.0,166.0,3282.0,617816.0,
1473.0,1725267.0,11395.0,55963.0,32526.0,
3859.0,317.0,5947.0,4212.0,203954.0,
5168.0,8596.0,585.0,943.0,7341.0,
11025.0,311.0,1785.0,80917.0,202014.0,
11025.0,11172.0,15540.0,5047.0,34394.0,
11025.0,317.0,60327.0,455182.0,155809.0,
1473.0,8231.0,6306.0,2000047.0,432283.0,
933.0,10768.0,4843.0,950.0,128318.0,
8619.0,717594.0,70691.0,28434.0,2753.0,
1473.0,676.0,445.0,7685.0,73431.0,
